,KODE_KEC,KODE_KK,KODE_PROV,KECAMATAN,KAB_KOTA,PROVINSI,FID
219,13.12.04,13.12,13,Talamau,Pasaman Barat,Sumatera Barat,13.12.04
220,13.12.05,13.12,13,Kinali,Pasaman Barat,Sumatera Barat,13.12.05
221,13.12.02,13.12,13,Lembah Melintang,Pasaman Barat,Sumatera Barat,13.12.02
222,13.12.03,13.12,13,Pasaman,Pasaman Barat,Sumatera Barat,13.12.03
223,32.15.17,32.15,32,Telagasari,Karawang,Jawa Barat,32.15.17
224,32.15.18,32.15,32,Rawamerta,Karawang,Jawa Barat,32.15.18
225,32.15.15,32.15,32,Cilamaya Wetan,Karawang,Jawa Barat,32.15.15
226,32.15.16,32.15,32,Tirtamulya,Karawang,Jawa Barat,32.15.16
227,32.15.19,32.15,32,Lemahabang,Karawang,Jawa Barat,32.15.19
228,18.02.15,18.02,18,Bekri,Lampung Tengah,Lampung,18.02.15
229,32.15.10,32.15,32,Pedes,Karawang,Jawa Barat,32.15.10
230,18.02.16,18.02,18,Seputih Agung,Lampung Tengah,Lampung,18.02.16
231,18.02.13,18.02,18,Terusan Nunyai,Lampung Tengah,Lampung,18.02.13
232,52.01.14,52.01,52,Batu Layar,Lombok Barat,Nusa Tenggara Barat,52.01.14
233,18.02.14,18.02,18,Bumi Ratu Nuban,Lampung Tengah,Lampung,18.02.14
234,52.01.15,52.01,52,Kuripan,Lombok Barat,Nusa Tenggara Barat,52.01.15
235,32.15.13,32.15,32,Cikampek,Karawang,Jawa Barat,32.15.13
236,18.02.19,18.02,18,Pubian,Lampung Tengah,Lampung,18.02.19
237,32.15.14,32.15,32,Jatisari,Karawang,Jawa Barat,32.15.14
238,72.05.09,72.05,72,Gadung,Buol,Sulawesi Tengah,72.05.09
239,32.15.11,32.15,32,Cibuaya,Karawang,Jawa Barat,32.15.11
240,32.12.30,32.12,32,Tukdana,Indramayu,Jawa Barat,32.12.30
241,18.02.17,18.02,18,Way Pangubuan,Lampung Tengah,Lampung,18.02.17
242,32.15.12,32.15,32,Pakisjaya,Karawang,Jawa Barat,32.15.12
243,13.12.08,13.12,13,Koto Balingka,Pasaman Barat,Sumatera Barat,13.12.08
244,32.12.31,32.12,32,Patrol,Indramayu,Jawa Barat,32.12.31
245,18.02.18,18.02,18,Bandar Mataram,Lampung Tengah,Lampung,18.02.18
246,13.12.09,13.12,13,Sungai Aur,Pasaman Barat,Sumatera Barat,13.12.09
247,13.12.06,13.12,13,Gunung Tuleh,Pasaman Barat,Sumatera Barat,13.12.06
248,13.12.07,13.12,13,Ranah Batahan,Pasaman Barat,Sumatera Barat,13.12.07
249,72.05.03,72.05,72,Bokat,Buol,Sulawesi Tengah,72.05.03
250,72.05.04,72.05,72,Bunobogu,Buol,Sulawesi Tengah,72.05.04
251,18.02.22,18.02,18,Sendang Agung,Lampung Tengah,Lampung,18.02.22
252,52.01.12,52.01,52,Lingsar,Lombok Barat,Nusa Tenggara Barat,52.01.12
253,72.05.01,72.05,72,Momunu,Buol,Sulawesi Tengah,72.05.01
254,18.02.23,18.02,18,Kota Gajah,Lampung Tengah,Lampung,18.02.23
255,53.03.06,53.03,53,Biboki Utara,Timor Tengah Utara,Nusa Tenggara Timur,53.03.06
256,52.01.13,52.01,52,Lembar,Lombok Barat,Nusa Tenggara Barat,52.01.13
257,72.05.02,72.05,72,Lakea,Buol,Sulawesi Tengah,72.05.02
258,18.02.20,18.02,18,Selagai Lingga,Lampung Tengah,Lampung,18.02.20
259,53.03.07,53.03,53,Biboki Anleu,Timor Tengah Utara,Nusa Tenggara Timur,53.03.07
260,13.12.11,13.12,13,Sasak Ranah Pasisie,Pasaman Barat,Sumatera Barat,13.12.11
261,72.05.07,72.05,72,Tiloan,Buol,Sulawesi Tengah,72.05.07
262,18.02.21,18.02,18,Anak Tuha,Lampung Tengah,Lampung,18.02.21
263,53.03.04,53.03,53,Noemuti,Timor Tengah Utara,Nusa Tenggara Timur,53.03.04
264,72.05.08,72.05,72,Bukal,Buol,Sulawesi Tengah,72.05.08
265,53.03.05,53.03,53,Kota Kefamenanu,Timor Tengah Utara,Nusa Tenggara Timur,53.03.05
266,72.05.05,72.05,72,Paleleh,Buol,Sulawesi Tengah,72.05.05
267,13.12.10,13.12,13,Luhak Nan Duo,Pasaman Barat,Sumatera Barat,13.12.10
268,72.05.06,72.05,72,Biau,Buol,Sulawesi Tengah,72.05.06
269,53.03.08,53.03,53,Insana,Timor Tengah Utara,Nusa Tenggara Timur,53.03.08
270,53.03.09,53.03,53,Insana Utara,Timor Tengah Utara,Nusa Tenggara Timur,53.03.09
271,82.04.09,82.04,82,Bacan Barat,Halmahera Selatan,Maluku Utara,82.04.09
272,32.15.28,32.15,32,Tegalwaru,Karawang,Jawa Barat,32.15.28
273,32.15.29,32.15,32,Purwasari,Karawang,Jawa Barat,32.15.29
274,53.03.02,53.03,53,Miomafo Barat,Timor Tengah Utara,Nusa Tenggara Timur,53.03.02
275,32.15.26,32.15,32,Karawang Timur,Karawang,Jawa Barat,32.15.26
276,53.03.03,53.03,53,Biboki Selatan,Timor Tengah Utara,Nusa Tenggara Timur,53.03.03
277,32.15.27,32.15,32,Telukjambe Barat,Karawang,Jawa Barat,32.15.27
278,82.04.03,82.04,82,Gane Timur,Halmahera Selatan,Maluku Utara,82.04.03
279,82.04.04,82.04,82,Gane Barat,Halmahera Selatan,Maluku Utara,82.04.04
280,53.03.01,53.03,53,Miomafo Timur,Timor Tengah Utara,Nusa Tenggara Timur,53.03.01
281,82.04.01,82.04,82,Pulau Makian,Halmahera Selatan,Maluku Utara,82.04.01
282,82.04.02,82.04,82,Kayoa,Halmahera Selatan,Maluku Utara,82.04.02
283,82.04.07,82.04,82,Bacan Timur,Halmahera Selatan,Maluku Utara,82.04.07
284,32.15.20,32.15,32,Tempuran,Karawang,Jawa Barat,32.15.20
285,82.04.08,82.04,82,Bacan,Halmahera Selatan,Maluku Utara,82.04.08
286,18.02.26,18.02,18,Bandar Surabaya,Lampung Tengah,Lampung,18.02.26
287,32.15.21,32.15,32,Majalaya,Karawang,Jawa Barat,32.15.21
288,82.04.05,82.04,82,Obi Selatan,Halmahera Selatan,Maluku Utara,82.04.05
289,18.02.27,18.02,18,Anak Ratu Aji,Lampung Tengah,Lampung,18.02.27
290,82.04.06,82.04,82,Obi,Halmahera Selatan,Maluku Utara,82.04.06
291,18.02.24,18.02,18,Bumi Nabung,Lampung Tengah,Lampung,18.02.24
292,18.02.25,18.02,18,Way Seputih,Lampung Tengah,Lampung,18.02.25
293,32.15.24,32.15,32,Banyusari,Karawang,Jawa Barat,32.15.24
294,75.03.06,75.03,75,Tilongkabila,Bone Bolango,Gorontalo,75.03.06
295,32.15.25,32.15,32,Kota Baru,Karawang,Jawa Barat,32.15.25
296,75.03.07,75.03,75,Botupingge,Bone Bolango,Gorontalo,75.03.07
297,32.15.22,32.15,32,Jayakerta,Karawang,Jawa Barat,32.15.22
298,75.03.04,75.03,75,Bonepantai,Bone Bolango,Gorontalo,75.03.04
299,18.02.28,18.02,18,Putra Rumbia,Lampung Tengah,Lampung,18.02.28
300,32.15.23,32.15,32,Cilamaya Kulon,Karawang,Jawa Barat,32.15.23
301,75.03.05,75.03,75,Bulango Utara,Bone Bolango,Gorontalo,75.03.05
302,75.03.08,75.03,75,Kabila Bone,Bone Bolango,Gorontalo,75.03.08
303,75.03.09,75.03,75,Bone,Bone Bolango,Gorontalo,75.03.09
304,53.03.17,53.03,53,Bikomi Utara,Timor Tengah Utara,Nusa Tenggara Timur,53.03.17
305,53.03.18,53.03,53,Naibenu,Timor Tengah Utara,Nusa Tenggara Timur,53.03.18
306,53.03.15,53.03,53,Bikomi Tengah,Timor Tengah Utara,Nusa Tenggara Timur,53.03.15
307,75.03.02,75.03,75,Kabila,Bone Bolango,Gorontalo,75.03.02
308,53.03.16,53.03,53,Bikomi Nilulat,Timor Tengah Utara,Nusa Tenggara Timur,53.03.16
309,75.03.03,75.03,75,Suwawa,Bone Bolango,Gorontalo,75.03.03
310,75.03.01,75.03,75,Tapa,Bone Bolango,Gorontalo,75.03.01
311,53.03.19,53.03,53,Insana Fafinesu,Timor Tengah Utara,Nusa Tenggara Timur,53.03.19
312,53.03.10,53.03,53,Noemuti Timur,Timor Tengah Utara,Nusa Tenggara Timur,53.03.10
313,53.03.13,53.03,53,Mutis,Timor Tengah Utara,Nusa Tenggara Timur,53.03.13
314,53.03.14,53.03,53,Bikomi Selatan,Timor Tengah Utara,Nusa Tenggara Timur,53.03.14
315,53.03.11,53.03,53,Miomaffo Tengah,Timor Tengah Utara,Nusa Tenggara Timur,53.03.11
316,11.02.03,11.02,11,Bambel,Aceh Tenggara,Aceh,11.02.03
317,53.03.12,53.03,53,Musi,Timor Tengah Utara,Nusa Tenggara Timur,53.03.12
318,11.02.04,11.02,11,Babussalam,Aceh Tenggara,Aceh,11.02.04
319,11.02.01,11.02,11,Lawe Alas,Aceh Tenggara,Aceh,11.02.01
